1¬Primaria¬&
2¬Primaria incompleta¬&
3¬Secundaria¬&
4¬Secundaria Incompleta¬&
5¬Bachillerato¬&
6¬Bachillerato incompleto¬&
7¬Carrera técnica o comercial¬&
8¬Preescolar¬&
9¬Ninguna instrucción escolar¬&
10¬Normal¬&
11¬Profesional¬&
12¬Profesional incompleta¬&
13¬Maestría ¬&
14¬Doctorado¬
