1¬Instalación militar¬¬5¬&
2¬Oficina de procuración de justicia o instalación de policía¬¬5¬&
3¬Oficina o instalación migratoria¬¬5¬&
4¬Oficina o instalación del servicio de inteligencia o servicio secreto¬¬5¬&
5¬Centro de reclusión¬¬6¬&
6¬Cárcel civil¬Se refiere a las cárceles distritales, cárcel preventiva, cárceles municipales¬6¬&
7¬Cárcel militar¬Centro de reclusión en instalaciones militares¬6¬&
8¬Cárcel especial¬Las utilizadas de manera clandestina o ilegal¬6¬&
9¬Cárcel comunitaria¬Las utilizadas por las comunidades o pueblos como parte de sus usos y costumbres incluidas las de entidades no Estatales¬6¬&
10¬Casa de seguridad¬¬6¬&
11¬Centro de arraigo¬¬6¬&
12¬Institución para menores¬Se aplica a cualquier institución donde se encuentren menores privados de su libertad¬6¬&
13¬País¬Ej. Privatización de PEMEX¬18¬&
14¬Estado¬¬18¬&
15¬Municipio¬¬18¬&
16¬Cabecera municipal¬¬18¬&
17¬Comunidad¬Ej. Agresión a toda una comunidad¬18¬&
18¬Área comunal¬¬18¬&
19¬Barrio, colonia, paraje, ranchería¬¬18¬
