1¬Directamente llevó a cabo el acto¬¬1¬&
2¬Dio órdenes que tuvieron como consecuencia el acto¬¬1¬&
3¬Cómplice pasivo en el acto¬¬1¬&
4¬Confirmado que estuvo presente durante la ejecución del acto¬¬1¬&
5¬Planeó el acto¬¬1¬&
6¬Se sospecha que está involucrado en el acto¬¬1¬&
7¬Encubrió el acto¬Obstruyó la investigación, cambió pruebas, etc.¬1¬&
8¬Promovió la ley, resolución judicial o política violatoria de derechos humanos¬Ej. Controversia constitucional de la CNDH y la PGR en contra de la despenalización del aborto en el DF.¬2¬&
9¬Apoyó la promulgación de la ley, resolución judicial o política violatoria de derechos humanos¬¬2¬&
10¬Inactividad en términos de promulgación de leyes, resoluciones judiciales o establecimiento de políticas¬Ej. Falta de cambios en la legislación relativa a medios de comunicación (Cambios parados en el congreso después de que la Suprema Corte echó para atrás la Ley Televisa)¬2¬&
11¬Promovió la aplicación de la ley, resolución judicial o la implementación de la política violatoria de derechos humanos¬¬3¬&
12¬Apoyó la aplicación de la ley, resolución judicial o la implementación de la política violatoria de derechos humanos¬¬3¬&
13¬Inactividad en términos de la aplicación de la ley o la implementación de la política que proteja o garantice los derechos humanos¬Se refiere a la falta de actuación de los funcionarios públicos de acuerdo a lo establecido en reglamentos, leyes o políticas públicas que protejan o garanticen derechos humanos. Ej. La no investigación de acuerdo a la ley¬3¬&
14¬No ejercicio de la autoridad sobre sus subordinados¬¬4¬&
15¬Inactividad ante el conocimiento de que sus subordinados planeaban llevar a cabo un acto ilegal¬¬4¬&
16¬No tomó las medidas necesarias para prevenir que se cometiera un acto ilegal¬¬4¬
