1¬San José¬60¬&
2¬Alajuela¬60¬&
3¬Cartago¬60¬&
4¬Guanacaste¬60¬&
5¬Heredia¬60¬&
6¬Limón¬60¬&
7¬Puntarenas¬60¬&
8¬Panamá¬75¬&
9¬Bocas del Toro¬75¬&
10¬Coclé¬75¬&
11¬Chiriquí¬75¬&
12¬Darién¬75¬&
13¬Herrera¬75¬&
14¬Los Santos¬75¬&
15¬Veraguas¬75¬&
16¬Kuna Yala¬75¬&
17¬Ngobé Buglé¬75¬&
18¬Emberá-Wounaan¬75¬&
19¬Francisco Morazán¬69¬&
20¬Atlántida¬69¬&
21¬Colón¬69¬&
22¬Comayagua¬69¬&
23¬Copán¬69¬&
24¬Cortés¬69¬&
25¬Choluteca¬69¬&
26¬El Paraíso¬69¬&
27¬Gracias a Dios¬69¬&
28¬Intibucá¬69¬&
29¬Islas de la Bahía¬69¬&
30¬La Paz¬69¬&
31¬Lempira¬69¬&
32¬Ocotepeque¬69¬&
33¬Olancho¬69¬&
34¬Santa Bárbara¬69¬&
35¬Valle¬69¬&
36¬Yoro¬69¬&
37¬Guatemala¬67¬&
38¬Alta Verapaz¬67¬&
39¬Baja Verapaz¬67¬&
40¬Chimaltenango¬67¬&
41¬Chiquimula¬67¬&
42¬El Progreso¬67¬&
43¬El Quiché¬67¬&
44¬Escuintla¬67¬&
45¬Huehuetenango¬67¬&
46¬Izabal¬67¬&
47¬Jalapa¬67¬&
48¬Jutiapa¬67¬&
49¬Petén¬67¬&
50¬Quetzaltenango¬67¬&
51¬Retalhuleu¬67¬&
52¬Sacatepéquez¬67¬&
53¬Santa Rosa¬67¬&
54¬Sololá¬67¬&
55¬Suchitepéquez¬67¬&
56¬Totonicapán¬67¬&
57¬Zacapa¬67¬&
58¬San Marcos¬67¬&
59¬San Salvador¬64¬&
60¬Ahuachapán¬64¬&
61¬Cabañas¬64¬&
62¬Cuscatlán¬64¬&
63¬Chalatenango¬64¬&
64¬La libertad¬64¬&
65¬La Paz¬64¬&
66¬La Unión¬64¬&
67¬Morazán¬64¬&
68¬San Miguel¬64¬&
69¬Santa Ana¬64¬&
70¬San Vicente¬64¬&
71¬Sonsonate¬64¬&
72¬Usulután¬64¬&
73¬Managua¬74¬&
74¬Boaco¬74¬&
75¬Carazo¬74¬&
76¬Chinandega¬74¬&
77¬Chontales¬74¬&
78¬Estelí¬74¬&
79¬Granada¬74¬&
80¬Jinotega¬74¬&
81¬León¬74¬&
82¬Madriz¬74¬&
83¬Masaya¬74¬&
84¬Matagalpa¬74¬&
85¬Nueva Segovia¬74¬&
86¬El Morrito¬74¬&
87¬Rivas¬74¬&
88¬Región Autónoma del Atlántico Norte¬74¬&
89¬Región Autónoma del Atlántico Sur¬74¬&
90¬Aguascalientes¬51¬&
91¬Baja California¬51¬&
92¬Baja California Sur¬51¬&
93¬Campeche¬51¬&
94¬Chiapas¬51¬&
95¬Chihuahua¬51¬&
96¬Coahuila de Zaragoza¬51¬&
97¬Colima¬51¬&
98¬Distrito Federal¬51¬&
99¬Durango¬51¬&
100¬Guanajuato¬51¬&
101¬Guerrero¬51¬&
102¬Hidalgo¬51¬&
103¬Jalisco¬51¬&
104¬Estado de México¬51¬&
105¬Michoacán de Ocampo¬51¬&
106¬Morelos¬51¬&
107¬Nayarit¬51¬&
108¬Nuevo León¬51¬&
109¬Oaxaca¬51¬&
110¬Puebla¬51¬&
111¬Querétaro¬51¬&
112¬Quintana Roo¬51¬&
113¬San Luis Potosí¬51¬&
114¬Sinaloa¬51¬&
115¬Sonora¬51¬&
116¬Tabasco¬51¬&
117¬Tamaulipas¬51¬&
118¬Tlaxcala¬51¬&
119¬Veracruz de Ignacio de la Llave¬51¬&
120¬Yucatán¬51¬&
121¬Zacatecas¬51¬
