1¬Acosta¬1¬&
2¬Alajuelita¬1¬&
3¬Aserrí¬1¬&
4¬Central San José¬1¬&
5¬Curridabat¬1¬&
6¬Desamparados¬1¬&
7¬Dota¬1¬&
8¬Escazú¬1¬&
9¬Goicoechea¬1¬&
10¬León Cortés¬1¬&
11¬Montes de Oca¬1¬&
12¬Mora¬1¬&
13¬Moravia¬1¬&
14¬Pérez Zeledón¬1¬&
15¬Puriscal¬1¬&
16¬Santa Ana¬1¬&
17¬Tarrazú¬1¬&
18¬Tibás¬1¬&
19¬Turrúbares¬1¬&
20¬Vázquez de Coronado¬1¬&
21¬Alfaro Ruiz¬1¬&
22¬Atenas¬2¬&
23¬Central Alajuela¬2¬&
24¬Grecia¬2¬&
25¬Guatuso¬2¬&
26¬Los Chiles¬2¬&
27¬Naranjo¬2¬&
28¬Orotina¬2¬&
29¬Palmares¬2¬&
30¬Poás¬2¬&
31¬San Carlos¬2¬&
32¬San Mateo¬2¬&
33¬San Ramón¬2¬&
34¬Upala¬2¬&
35¬Valverde Vega¬2¬&
36¬Alvarado¬3¬&
37¬Cartago¬3¬&
38¬El Guarco¬3¬&
39¬Jiménez¬3¬&
40¬La Unión¬3¬&
41¬Oreamuno¬3¬&
42¬Paraíso¬3¬&
43¬Turrialba¬3¬&
44¬Abangares¬4¬&
45¬Bagaces¬4¬&
46¬Cañas¬4¬&
47¬Carrillo¬4¬&
48¬Hojancha¬4¬&
49¬La Cruz¬4¬&
50¬Liberia¬4¬&
51¬Nandayure¬4¬&
52¬Nicoya¬4¬&
53¬Santa Cruz¬4¬&
54¬Tilarán¬4¬&
55¬Barba¬5¬&
56¬Belén¬5¬&
57¬Central Heredia¬5¬&
58¬Flores¬5¬&
59¬San Isidro¬5¬&
60¬San Pablo¬5¬&
61¬San Rafael¬5¬&
62¬Santa Bárbara¬5¬&
63¬Santo Domingo¬5¬&
64¬Sarapiquí¬5¬&
65¬Central Limón¬6¬&
66¬Guácimo¬6¬&
67¬Matina¬6¬&
68¬Pococí¬6¬&
69¬Siquirres¬6¬&
70¬Talamanca¬6¬&
71¬Aguirre¬7¬&
72¬Buenos Aires¬7¬&
73¬Central Puntarenas¬7¬&
74¬Corredores¬7¬&
75¬Coto Brus¬7¬&
76¬Esparza¬7¬&
77¬Garabito¬7¬&
78¬Golfito¬7¬&
79¬Montes de Oro¬7¬&
80¬Osa¬7¬&
81¬Parrita¬7¬&
82¬Arraiján¬8¬&
83¬Balboa¬8¬&
84¬Capira¬8¬&
85¬Chame¬8¬&
86¬Chepo¬8¬&
87¬Chimán¬8¬&
88¬La Chorrera¬8¬&
89¬Panamá¬8¬&
90¬San Carlos¬8¬&
91¬San Miguelito¬8¬&
92¬Taboga¬8¬&
93¬Bocas del Toro¬9¬&
94¬Changuinola¬9¬&
95¬Chiriquí Grande¬9¬&
96¬Aguadulce¬10¬&
97¬Antón¬10¬&
98¬La Pintada¬10¬&
99¬Natá¬10¬&
100¬Olá¬10¬&
101¬Penonomé¬10¬&
102¬Alanje¬11¬&
103¬Barú¬11¬&
104¬Boquerón¬11¬&
105¬Boquete¬11¬&
106¬Bugaba¬11¬&
107¬David¬11¬&
108¬Dolega¬11¬&
109¬Gualaca¬11¬&
110¬Remedios¬11¬&
111¬Renacimiento¬11¬&
112¬San Felix¬11¬&
113¬San Lorenzo¬11¬&
114¬Tolé¬11¬&
115¬Chepigana¬12¬&
116¬Pinogana¬12¬&
117¬Chitré¬13¬&
118¬Las Minas¬13¬&
119¬Los Pozos¬13¬&
120¬Ocú¬13¬&
121¬Parita¬13¬&
122¬Pesé¬13¬&
123¬Santa María¬13¬&
124¬Guararé¬14¬&
125¬Las Tablas¬14¬&
126¬Los Santos¬14¬&
127¬Macaracas¬14¬&
128¬Pedasí¬14¬&
129¬Pocrí¬14¬&
130¬Tonosí¬14¬&
131¬Atalaya¬15¬&
132¬Calobre¬15¬&
133¬Cañazas¬15¬&
134¬La Mesa¬15¬&
135¬Las Palmas¬15¬&
136¬Mariato¬15¬&
137¬Montijo¬15¬&
138¬Río de Jesús¬15¬&
139¬San Francisco¬15¬&
140¬Santa Fe¬15¬&
141¬Santiago¬15¬&
142¬Soná¬15¬&
143¬El Porvenir¬16¬&
144¬Llano Tugrí¬17¬&
145¬Kankintú¬17¬&
146¬Kusapín¬17¬&
147¬Besikó¬17¬&
148¬Mironó¬17¬&
149¬Muna¬17¬&
150¬Nole Duima¬17¬&
151¬Ñurun¬17¬&
152¬Unión Chocó¬18¬&
153¬Cémaco¬18¬&
154¬Sambú¬18¬&
155¬Distrito Central (Tegucigalpa)¬19¬&
156¬Alubaren¬19¬&
157¬Cedros¬19¬&
158¬Curaren¬19¬&
159¬El Porvenir¬19¬&
160¬Guaimaca¬19¬&
161¬La Libertad¬19¬&
162¬La Venta¬19¬&
163¬Lepaterique¬19¬&
164¬Maraita¬19¬&
165¬Marale¬19¬&
166¬Nueva Armenia¬19¬&
167¬Ojojona¬19¬&
168¬Orica¬19¬&
169¬Reitoca¬19¬&
170¬Sabanagrande¬19¬&
171¬San Antonio de Oriente¬19¬&
172¬San Buenaventura¬19¬&
173¬San Ignacio¬19¬&
174¬San Juan de Flores¬19¬&
175¬San Miguelito¬19¬&
176¬Santa Ana¬19¬&
177¬Santa Lucía¬19¬&
178¬Talanga¬19¬&
179¬Tatumbla¬19¬&
180¬Valle de Angeles¬19¬&
181¬Villa de San Francisco¬19¬&
182¬Vallecillo¬19¬&
183¬La Ceiba¬20¬&
184¬El Porvenir¬20¬&
185¬Esparta¬20¬&
186¬Jutiapa¬20¬&
187¬La Masica¬20¬&
188¬San Francisco¬20¬&
189¬Tela¬20¬&
190¬Arizona¬20¬&
191¬Colón¬21¬&
192¬Chagres¬21¬&
193¬Donoso¬21¬&
194¬Portobelo¬21¬&
195¬Santa Isabel¬21¬&
196¬Trujillo¬21¬&
197¬Balfate¬21¬&
198¬Iriona¬21¬&
199¬Limón¬21¬&
200¬Saba¬21¬&
201¬Santa Fé¬21¬&
202¬Santa Rosa de Aguan¬21¬&
203¬Sonaguera¬21¬&
204¬Tocoa¬21¬&
205¬Bonito Oriental¬21¬&
206¬Comayagua¬22¬&
207¬Ajuterique¬22¬&
208¬El Rosario¬22¬&
209¬Esquias¬22¬&
210¬Humuya¬22¬&
211¬La Libertad¬22¬&
212¬Lamani¬22¬&
213¬La Trinidad¬22¬&
214¬Lejamani¬22¬&
215¬Meambar¬22¬&
216¬Minas de Oro¬22¬&
217¬Ojos de AGua¬22¬&
218¬San Jerónimo¬22¬&
219¬San José Comayagua¬22¬&
220¬San José del Potrero¬22¬&
221¬San Luis¬22¬&
222¬San Sebastián¬22¬&
223¬Siguatepeque¬22¬&
224¬Villa de San Antonio¬22¬&
225¬Las Lajas¬22¬&
226¬Taulabe¬22¬&
227¬Santa Rosa de Copán¬23¬&
228¬Cabañas¬23¬&
229¬Concepción¬23¬&
230¬Copán Ruinas¬23¬&
231¬Corquin¬23¬&
232¬Cucuyagua¬23¬&
233¬Dolores¬23¬&
234¬Dulce Nombre¬23¬&
235¬El Paraíso¬23¬&
236¬Florida¬23¬&
237¬La Jigua¬23¬&
238¬La Unión¬23¬&
239¬Nueva Arcadia¬23¬&
240¬San Agustín¬23¬&
241¬San Antonio¬23¬&
242¬San Jerónimo¬23¬&
243¬San José¬23¬&
244¬San Juan de Opoa¬23¬&
245¬San Nicolás¬23¬&
246¬San Pedro¬23¬&
247¬Santa Rita¬23¬&
248¬Trinidad¬23¬&
249¬Veracruz¬23¬&
250¬San Pedro Sula¬24¬&
251¬Choloma¬24¬&
252¬Omoa¬24¬&
253¬Pimienta¬24¬&
254¬Potrerillos¬24¬&
255¬Puerto Cortés¬24¬&
256¬San Antonio de Cortés¬24¬&
257¬San Francisco de Yojoa¬24¬&
258¬San Manuel¬24¬&
259¬Santa Cruz de Yojoa¬24¬&
260¬Villanueva¬24¬&
261¬La Lima¬24¬&
262¬Choluteca¬25¬&
263¬Apacilagua¬25¬&
264¬Concepción de María¬25¬&
265¬Duyure¬25¬&
